ref,composer,composer_full,surname,season,titles,category,handwritten,confidence,source_photos,flags
D-001,ADAMS,Adams,Adams,harvest,Is it not wheat harvest today?,anthem,yes,0.95,IMG_4285,
D-002,ALLEGRI,Gregorio Allegri,Allegri,lent;passiontide,Miserere,anthem,no,0.95,IMG_4272,
D-003,ALLEGRI,Gregorio Allegri,Allegri,pentecost,Veni Sancte Spiritus,anthem,yes,0.85,IMG_4272,
D-004,AMNER,John Amner,Amner,,"Come, let's rejoice",anthem,yes,0.70,IMG_4272,check
D-005,ANDREWS,Andrews,Andrews,,O sing the glories,anthem,no,0.90,IMG_4272,
D-006,ANERIO,Felice Anerio,Anerio,passiontide;holyweek,Christus factus est,anthem,no,0.95,IMG_4272,
D-007,ANON (16th c.),Anonymous,Anon,,Rejoice in the Lord alway,anthem,no,0.90,IMG_4272,see also REDFORD D-172
D-008,ARCADELT,Jacques Arcadelt,Arcadelt,,O sacrum convivium,anthem,yes,0.85,IMG_4272,
D-009,ASTON,Peter Aston,Aston,,The true glory,anthem,no,0.90,IMG_4272,
D-010,ASTON,Peter Aston,Aston,,Alleluya psallat,anthem,no,0.90,IMG_4272,
D-011,ASTON,Peter Aston,Aston,,For I went,anthem,no,0.90,IMG_4272,
D-012,ATTWOOD,Thomas Attwood,Attwood,,Teach me O Lord,anthem,no,0.95,IMG_4272,
D-013,ATTWOOD,Thomas Attwood,Attwood,,Turn Thy face,anthem,no,0.90,IMG_4272,damaged
D-014,ATTWOOD,Thomas Attwood,Attwood,pentecost,Come Holy Ghost,anthem,no,0.85,IMG_4272,damaged
D-015,BACH,Johann Sebastian Bach,Bach,,Three Chorales,anthem,no,0.97,IMG_4272,
D-016,BACH,Johann Sebastian Bach,Bach,advent,Zion hears,anthem,no,0.95,IMG_4272,
D-017,BACH,Johann Sebastian Bach,Bach,,My heart ever faithful,anthem,no,0.95,IMG_4272,
D-018,BACH,Johann Sebastian Bach,Bach,,God liveth aye,anthem,no,0.80,IMG_4272,damaged
D-019,BACH,Johann Sebastian Bach,Bach,,"Jesu, joy",anthem,no,0.95,IMG_4272;IMG_4273,
D-020,BACH,Johann Sebastian Bach,Bach,,Commit thy way,anthem,no,0.95,IMG_4272,
D-021,BAINTON,Edgar Bainton,Bainton,,And I saw a new heaven,anthem,yes,0.85,IMG_4273,
D-022,BAIRSTOW,Edward Bairstow,Bairstow,lent,Lamentation; Jesu grant me this,anthem,no,0.85,IMG_4273,
D-023,BAIRSTOW,Edward Bairstow,Bairstow,,Let all mortal flesh keep silence,anthem,yes,0.95,IMG_4273;IMG_4450,
D-024,BAIRSTOW,Edward Bairstow,Bairstow,,"Save us, O Lord",anthem,no,0.98,IMG_4277,cover photo
D-025,BALFOUR GARDINER,Henry Balfour Gardiner,Balfour Gardiner,,Evening Hymn,anthem,yes,0.90,IMG_4273,
D-026,BATTEN,Adrian Batten,Batten,,O sing joyfully; Deliver us O Lord; O praise the Lord,anthem,no,0.95,IMG_4273,
D-027,BATTISHILL,Jonathan Battishill,Battishill,,O Lord look down from heaven,anthem,yes,0.70,IMG_4273,
D-028,BLITHEMAN,Blitheman,Blitheman,lent,In pace,anthem,yes,0.40,IMG_4287,check; possible old ref CC10
D-029,BLOW,John Blow,Blow,,Let Thy hand; O pray for the peace; My God my God; Salvator mundi,anthem,no,0.95,IMG_4286;IMG_4287,
D-030,BOYCE,William Boyce,Boyce,,I have surely built,anthem,no,0.90,IMG_4286;IMG_4287,pencil 44 on box
D-031,BOYCE,William Boyce,Boyce,,Turn thee unto me,anthem,yes,0.95,IMG_4273;IMG_4286,
D-032,BOYCE,William Boyce,Boyce,,All the ends of the world; O where shall wisdom; O turn away (Trebles); The Lord is King (ATB),anthem,no,0.80,IMG_4286;IMG_4287,
D-033,BRAHMS,Johannes Brahms,Brahms,,Wie lieblich sind,anthem,yes,0.90,IMG_4273;IMG_4286,
D-034,BRAHMS,Johannes Brahms,Brahms,,How lovely are; Behold all flesh,anthem,no,0.90,IMG_4286;IMG_4287,
D-035,BRITTEN,Benjamin Britten,Britten,christmas,A Ceremony of Carols,carol,no,1.00,IMG_4288,cover photo; SATB Boosey & Hawkes
D-036,BRITTEN,Benjamin Britten,Britten,,Rejoice in the Lamb,anthem,yes,0.80,IMG_4275,
D-037,BRITTEN,Benjamin Britten,Britten,,Jubilate Deo,canticle,no,0.95,IMG_4275,
D-038,BRUCKNER,Anton Bruckner,Bruckner,passiontide,Locus iste; Christus factus est,anthem,no,0.95,IMG_4275,
D-039,BUCK,Buck,Buck,,O Lord God,anthem,yes,0.90,IMG_4276,(SS) circled
D-040,BULLOCK,Ernest Bullock,Bullock,allsaints;saints,Give us the wings of faith,anthem,yes,0.95,IMG_4276;IMG_4286,
D-041,BYRD,William Byrd,Byrd,lent;easter,Christe qui lux; Sacerdotes Domini; Victimae Paschali,anthem,no,0.95,IMG_4275,
D-042,BYRD,William Byrd,Byrd,,Bow thine ear,anthem,no,0.90,IMG_4275,
D-043,BYRD,William Byrd,Byrd,easter,Ave verum corpus; Terra tremuit,anthem,no,0.95,IMG_4275,
D-044,BYRD,William Byrd,Byrd,,Laudibus in sanctis; Emendemus in melius,anthem,yes,0.80,IMG_4275,
D-045,BYRD,William Byrd,Byrd,,Non vos relinquam; O Lord make Thy servant Elizabeth; Sing joyfully,anthem,no,0.90,IMG_4278,
D-046,BYRD,William Byrd,Byrd,candlemas,Senex puerum portabat; Teach me O Lord,anthem,yes,0.55,IMG_4278,check attribution
D-047,BYRD,William Byrd,Byrd,candlemas;epiphany,Hodie beata virgo; Ecce advenit,anthem,yes,0.90,IMG_4278;IMG_4279,
D-048,BYRD,William Byrd,Byrd,christmas,Laetentur coeli,anthem,no,0.85,IMG_4278,
D-049,BYRD,William Byrd,Byrd,allsaints,O quam gloriosum; Two Sacred Songs,anthem,no,0.95,IMG_4278,
D-050,BYRD,William Byrd,Byrd,,Prevent us O Lord; Miserere mei; Lord in Thy rage (ATB),anthem,no,0.90,IMG_4278,
D-051,BYRD,William Byrd,Byrd,christmas;pentecost,O admirabile commercium; Veni Sancte Spiritus reple (men's voices),anthem,yes,0.90,IMG_4279;IMG_4451,
D-052,CAMPBELL,Sidney Campbell,Campbell,saints,Fanfare for Michaelmas,anthem,no,0.95,IMG_4281,
D-053,CAMPBELL,Sidney Campbell,Campbell,,Sing we merrily,anthem,no,0.95,IMG_4281,
D-054,CARTER,Carter,Carter,,God be in my head,anthem,yes,0.90,IMG_4281,
D-055,CORNYSHE,William Cornysh,Cornyshe,passiontide,Woefully array'd,anthem,no,0.95,IMG_4281,
D-056,CROFT,William Croft,Croft,funeral,Funeral Service,anthem,yes,0.90,IMG_4281,
D-057,DALEY,Eleanor Daley,Daley,,Upon your heart,anthem,yes,0.90,IMG_4281,
D-058,DOVE,Jonathan Dove,Dove,,Seek Him,anthem,yes,0.90,IMG_4283,two copies/parcels
D-059,DUNSTAPLE,John Dunstaple,Dunstaple,,Kyrie (ATBar ed. Biazeck),anthem,no,0.95,IMG_4282,cover photo
D-060,DURUFLE,Maurice Duruflé,Duruflé,holyweek,Ubi caritas,anthem,yes,0.90,IMG_4281,
D-061,DURUFLE,Maurice Duruflé,Duruflé,saints,Tu es Petrus,anthem,yes,0.90,IMG_4281,
D-062,EAST,Michael East,East,,When Israel came out of Egypt,anthem,yes,0.90,IMG_4283,OCT 19 note
D-063,ECCARD,Johannes Eccard,Eccard,candlemas,When to the Temple,anthem,yes,0.85,IMG_4283,old code under label
D-064,ELGAR,Edward Elgar,Elgar,,The Spirit of the Lord,anthem,yes,0.90,IMG_4283,
D-065,ELGAR,Edward Elgar,Elgar,,Give unto the Lord,anthem,yes,0.90,IMG_4283,
D-066,ELGAR,Edward Elgar,Elgar,,Ave verum corpus,anthem,yes,0.85,IMG_4283,
D-067,FARRANT,Richard Farrant,Farrant,lent,Hide not Thou; Call to remembrance,anthem,no,0.90,IMG_4283,
D-068,FAURE,Gabriel Fauré,Fauré,,Ave verum,anthem,yes,0.90,IMG_4284,
D-069,FAURE,Gabriel Fauré,Fauré,,Cantique de Jean Racine,anthem,yes,0.90,IMG_4284,
D-070,FAURE,Gabriel Fauré,Fauré,funeral,Requiem (2 parcels),major work,yes,0.95,IMG_4284,
D-071,de FEVIN,Antoine de Févin,de Févin,trinity,Sancta Trinitas,anthem,no,0.75,IMG_4283,
D-072,FINZI,Gerald Finzi,Finzi,ascension,God is gone up,anthem,yes,0.75,IMG_4284,
D-073,FRANCK,César Franck,Franck,,Panis angelicus,anthem,yes,0.90,IMG_4284,
D-074,GESUALDO,Carlo Gesualdo,Gesualdo,passiontide;holyweek,O vos omnes,anthem,no,0.90,IMG_4290;IMG_4453,
D-075,GIBBONS,Orlando Gibbons,Gibbons,advent,This is the record of John; Spirit all-Holy (Song 22),anthem,no,0.90,IMG_4290;IMG_4452;IMG_4453,
D-076,GIBBONS,Orlando Gibbons,Gibbons,advent;holyweek,Hosanna to the Son of David; Almighty and everlasting God,anthem,yes,0.55,IMG_4290,check
D-077,GOWER,Gower,Gower,,Tune me O Lord,anthem,yes,0.75,IMG_4290,
D-078,GREENE,Maurice Greene,Greene,harvest,My lips shall speak; Thou visitest the earth; Lord let me know; Acquaint thyself,anthem,no,0.90,IMG_4291,pencil 26?
D-079,GUERRERO,Francisco Guerrero,Guerrero,,Accepit Iesu panes,anthem,yes,0.55,IMG_4290,check
D-080,GOODALL,Howard Goodall,Goodall,,The Lord is my Shepherd,anthem,yes,0.90,IMG_4291,
D-081,HADLEY,Patrick Hadley,Hadley,,My beloved spake,anthem,no,0.55,IMG_4304,check vs SANDERS D-176
